idx,circuit_name,signal_name,node_count,edge_count,similarity,label,label_by,notes
# 说明：label列初始为空，0=正常，1=木马；label_by标注者；notes备注
111,"AES-T2000","top.Trigger.State3",33,38,0.2665,,"","待标注"
112,"AES-T2000","top.Trigger.Tj_Trig",8,7,0.1613,,"","待标注"
113,"AES-T2000","top.Trojan.COUNTER",9,8,0.3355,,"","待标注"
114,"AES-T2000","top.Trojan.INV10_out",3,2,0.2292,,"","待标注"
115,"AES-T2000","top.Trojan.INV11_out",3,2,0.2949,,"","待标注"
116,"AES-T2000","top.Trojan.INV1_out",3,2,0.3133,,"","待标注"
117,"AES-T2000","top.Trojan.INV2_out",3,2,0.2775,,"","待标注"
118,"AES-T2000","top.Trojan.INV3_out",3,2,0.2329,,"","待标注"
119,"AES-T2000","top.Trojan.INV4_out",3,2,0.2509,,"","待标注"
120,"AES-T2000","top.Trojan.INV5_out",3,2,0.2876,,"","待标注"
121,"AES-T2000","top.Trojan.INV6_out",3,2,0.2854,,"","待标注"
122,"AES-T2000","top.Trojan.INV7_out",3,2,0.2224,,"","待标注"
123,"AES-T2000","top.Trojan.INV8_out",3,2,0.2792,,"","待标注"
124,"AES-T2000","top.Trojan.INV9_out",3,2,0.3219,,"","待标注"
125,"AES-T2000","top.Trojan.LEAKBit",5,4,0.5343,,"","待标注"
126,"AES-T2000","top.Trojan.SECRETKey",9,8,0.2847,,"","待标注"
127,"AES-T2100","top.Trigger.Counter",9,8,0.1931,,"","待标注"
128,"AES-T2100","top.Trigger.Tj_Trig",12,11,0.2260,,"","待标注"
129,"AES-T2100","top.Trojan.COUNTER",9,8,0.2735,,"","待标注"
130,"AES-T2100","top.Trojan.INV10_out",3,2,0.2425,,"","待标注"
131,"AES-T2100","top.Trojan.INV11_out",3,2,0.2410,,"","待标注"
132,"AES-T2100","top.Trojan.INV1_out",3,2,0.1820,,"","待标注"
133,"AES-T2100","top.Trojan.INV2_out",3,2,0.2526,,"","待标注"
134,"AES-T2100","top.Trojan.INV3_out",3,2,0.2694,,"","待标注"
135,"AES-T2100","top.Trojan.INV4_out",3,2,0.2559,,"","待标注"
136,"AES-T2100","top.Trojan.INV5_out",3,2,0.2657,,"","待标注"
137,"AES-T2100","top.Trojan.INV6_out",3,2,0.2874,,"","待标注"
138,"AES-T2100","top.Trojan.INV7_out",3,2,0.2963,,"","待标注"
139,"AES-T2100","top.Trojan.INV8_out",3,2,0.2845,,"","待标注"
140,"AES-T2100","top.Trojan.INV9_out",3,2,0.3110,,"","待标注"
141,"AES-T2100","top.Trojan.LEAKBit",5,4,0.6077,,"","待标注"
142,"AES-T2100","top.Trojan.SECRETKey",9,8,0.2499,,"","待标注"
143,"AES-T2300","top.AES.out",11,11,0.4171,,"","待标注"
144,"AES-T2300","top.AES.Trojan.r1",5,4,0.4755,,"","待标注"
145,"AES-T2300","top.AES.Trojan.r2",5,4,0.4597,,"","待标注"
146,"AES-T2300","top.AES.Trojan.trigger",4,3,0.2022,,"","待标注"
147,"AES-T2400","top.AES.out",11,11,0.4560,,"","待标注"
148,"AES-T2400","top.AES.Trojan.r1",5,4,0.5064,,"","待标注"
149,"AES-T2400","top.AES.Trojan.r2",5,4,0.5177,,"","待标注"
150,"AES-T2400","top.AES.Trojan.trigger",4,3,0.2403,,"","待标注"
151,"AES-T2500","top.AES.out",11,11,0.4190,,"","待标注"
152,"AES-T2500","top.AES.Trojan.counter",8,7,0.2666,,"","待标注"
153,"AES-T2500","top.AES.Trojan.trigger",5,4,0.4852,,"","待标注"
154,"AES-T2600","top.AES.out",11,11,0.3421,,"","待标注"
155,"AES-T2600","top.AES.Trojan.counter",15,16,0.2973,,"","待标注"
156,"AES-T2600","top.AES.Trojan.r1",5,4,0.4681,,"","待标注"
157,"AES-T2600","top.AES.Trojan.trigger",5,4,0.4196,,"","待标注"
158,"AES-T2700","top.AES.out",11,11,0.4847,,"","待标注"
159,"AES-T2700","top.AES.Trojan.counter",8,7,0.2666,,"","待标注"
160,"AES-T2700","top.AES.Trojan.counter2",25,29,0.2333,,"","待标注"
161,"AES-T2700","top.AES.Trojan.trigger",5,4,0.4199,,"","待标注"
