batch,param,value,F1,Precision,Recall,FPR,TP,FP,TN,FN,circuits,stats
ALL,threshold_TjIn2,0.58,0.974910394265233,1.0,0.951048951048951,0,136,0,0,7,135,
ALL,threshold_TjIn2,0.59,0.9785714285714286,1.0,0.958041958041958,0,137,0,0,6,135,
ALL,threshold_TjIn2,0.6,0.9785714285714286,1.0,0.958041958041958,0,137,0,0,6,135,
ALL,threshold_TjIn2,0.61,0.9785714285714286,1.0,0.958041958041958,0,137,0,0,6,135,
ALL,threshold_TjIn2,0.62,0.9785714285714286,1.0,0.958041958041958,0,137,0,0,6,135,
ALL,threshold_TjIn2,0.63,0.9822064056939501,1.0,0.965034965034965,0,138,0,0,5,135,
ALL,threshold_TjIn2,0.64,0.9822064056939501,1.0,0.965034965034965,0,138,0,0,5,135,
ALL,threshold_TjIn2,0.65,0.9822064056939501,1.0,0.965034965034965,0,138,0,0,5,135,
ALL,threshold_TjIn2,0.66,0.989399293286219,1.0,0.9790209790209791,0,140,0,0,3,135,
ALL,threshold_TjIn2,0.67,0.989399293286219,1.0,0.9790209790209791,0,140,0,0,3,135,
ALL,threshold_TjIn2,0.68,0.989399293286219,1.0,0.9790209790209791,0,140,0,0,3,135,
ALL,threshold_TjIn2,0.69,0.989399293286219,1.0,0.9790209790209791,0,140,0,0,3,135,
ALL,threshold_TjIn2,0.7,0.989399293286219,1.0,0.9790209790209791,0,140,0,0,3,135,
ALL,threshold_TjIn2,0.71,0.989399293286219,1.0,0.9790209790209791,0,140,0,0,3,135,
ALL,threshold_TjIn2,0.72,0.989399293286219,1.0,0.9790209790209791,0,140,0,0,3,135,
ALL,threshold_TjIn2,0.73,0.989399293286219,1.0,0.9790209790209791,0,140,0,0,3,135,
ALL,threshold_TjIn2,0.74,0.989399293286219,1.0,0.9790209790209791,0,140,0,0,3,135,
ALL,threshold_TjIn2,0.75,0.9929577464788732,1.0,0.986013986013986,0,141,0,0,2,135,
ALL,threshold_TjIn2,0.76,0.9929577464788732,1.0,0.986013986013986,0,141,0,0,2,135,
ALL,threshold_TjIn2,0.77,0.9929577464788732,1.0,0.986013986013986,0,141,0,0,2,135,
ALL,threshold_TjIn2,0.78,0.9929577464788732,1.0,0.986013986013986,0,141,0,0,2,135,
